"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.726902400E-2,3.057378232E-1,2.300669402E-1,1.014799103E-1
4.393496200E-2,3.375027776E-1,2.012035847E-1,4.482220486E-2
6.060089900E-2,2.146426141E-1,2.666424811E-1,7.887791097E-2
7.726683700E-2,8.155044913E-2,3.788888752E-1,1.291215420E-1
9.393277400E-2,3.733910993E-2,4.508182108E-1,1.101847365E-1
1.105987120E-1,4.207331315E-2,4.420370162E-1,7.223475724E-2
1.272646490E-1,1.008690447E-1,3.818668425E-1,9.162971750E-3
1.439305870E-1,1.899789423E-1,2.099084109E-1,-1.061377581E-2
1.605965240E-1,3.160461783E-1,4.291325063E-2,-2.214384731E-3
1.772624620E-1,3.958403766E-1,-8.933897130E-3,-5.192350596E-3
1.939283990E-1,3.554469347E-1,-1.015562657E-2,-2.160934173E-2
2.105943370E-1,2.532034516E-1,1.351538301E-2,-2.886336111E-2
2.272602740E-1,1.708130687E-1,3.420842811E-2,-4.329504073E-2
2.439262120E-1,7.903063297E-2,6.467530876E-2,-3.856083751E-2
2.605921490E-1,-1.290451828E-2,1.393535286E-1,-1.298087649E-3
2.772580870E-1,-5.535962060E-2,1.919642538E-1,5.062541738E-2
2.939240240E-1,-5.955931544E-2,1.611919403E-1,7.658717036E-2
3.105899620E-1,-2.939786762E-2,1.096502244E-1,5.726857483E-2
3.272558990E-1,-1.878409274E-2,4.535670951E-2,-1.580612548E-2
3.439218370E-1,-3.123046272E-2,4.436405376E-2,-2.270889878E-1
3.605877740E-1,8.857539296E-2,4.757109284E-2,-4.295906425E-1
3.772537120E-1,3.925569654E-1,1.034652218E-1,-5.984947681E-1
3.939196490E-1,4.831176698E-1,1.336266659E-2,-6.297252178E-1
4.105855870E-1,4.037816226E-1,-1.085812151E-1,-6.595812440E-1
4.272515240E-1,3.631591201E-1,-2.026543915E-1,-7.107411623E-1
4.439174620E-1,4.681515098E-1,-2.439641207E-1,-8.684970140E-1
4.605833990E-1,6.848557591E-1,-1.098029464E-1,-9.682970047E-1
4.772493370E-1,7.966440320E-1,-1.656970754E-2,-9.837977290E-1
4.939152740E-1,1.035797596E0,3.611738086E-1,-1.193171620E0
5.105812120E-1,1.241964459E0,4.587594569E-1,-1.175532937E0
5.272471490E-1,9.146936536E-1,-8.475748450E-2,-9.466876984E-1
5.439130870E-1,5.378664136E-1,-4.092794061E-1,-7.241802216E-1
5.605790240E-1,3.436878026E-1,-2.691622972E-1,-6.427824497E-1
5.772449620E-1,4.558578432E-1,-2.191477455E-2,-5.951350331E-1
5.939108990E-1,7.031053901E-1,1.052214578E-1,-5.046506524E-1
6.105768370E-1,7.344885468E-1,-3.993528336E-2,-3.487274349E-1
6.272427740E-1,4.967857897E-1,-3.273471594E-1,-2.448804229E-1
6.439087120E-1,3.061196208E-1,-3.301724195E-1,-1.508836001E-1
6.605746490E-1,1.440877318E-1,-2.138026655E-1,-3.871355578E-2
6.772405870E-1,-5.780307949E-2,-7.925970852E-2,-8.132137358E-2
6.939065240E-1,-1.430950761E-1,7.154753804E-2,-1.449276656E-1
7.105724620E-1,-1.244636998E-1,6.895136088E-2,-1.712712198E-1
7.272383990E-1,-7.567087561E-2,-7.208204269E-2,-2.157116234E-1
7.439043370E-1,5.879573524E-3,-2.430478185E-1,-2.638935745E-1
7.605702740E-1,9.476039559E-2,-1.649334878E-1,-1.801287532E-1
7.772362120E-1,5.283980444E-2,-4.169152305E-2,-7.719803602E-2
7.939021490E-1,-6.620246917E-2,-2.878700197E-2,-1.656970754E-2
8.105680870E-1,-1.356883347E-1,-9.537126124E-2,3.054323839E-3
8.272340240E-1,-1.292742640E-1,-1.729510874E-1,-4.260781780E-2
8.438999620E-1,-1.045342386E-1,-1.506545246E-1,-6.696604937E-2
8.605658990E-1,-1.017853469E-1,1.298087649E-3,3.115410358E-2
8.772318370E-1,-1.168278903E-1,2.096029818E-1,1.970802546E-1
8.938977740E-1,-1.753181964E-1,1.750891209E-1,2.893971801E-1
9.105637120E-1,-2.562577724E-1,6.750056148E-2,3.032943606E-1
9.272296490E-1,-3.339903057E-1,-1.740964688E-2,2.625955045E-1
9.438955870E-1,-3.220784664E-1,9.086613357E-2,1.981492639E-1
9.605615240E-1,-2.214384824E-1,3.555996716E-1,1.418733448E-1
9.772274620E-1,-1.463021189E-1,5.160280466E-1,9.628756344E-2
9.938933990E-1,-9.957095981E-2,4.023308158E-1,6.803506613E-2
1.010559337E0,-9.834922850E-2,1.418733448E-1,3.123046272E-2
1.027225274E0,-1.027780026E-1,4.749473557E-2,2.092211880E-2
1.043891212E0,-9.857830405E-2,7.162389904E-2,2.787070535E-2
1.060557149E0,-5.253437161E-2,1.319467872E-1,-0.000000000E0
1.077223087E0,1.015562657E-2,-1.970038936E-2,-1.074358448E-1
1.093889024E0,2.107483521E-2,-2.617555559E-1,-2.122755051E-1
1.110554962E0,-5.864302069E-2,-3.463603258E-1,-2.541197538E-1
1.127220899E0,-1.986837685E-1,-2.303723842E-1,-2.620609999E-1
1.143886837E0,-3.075704277E-1,3.000873141E-2,-2.535852492E-1
1.160552774E0,-2.977965772E-1,2.233474404E-1,-2.519817352E-1
1.177218712E0,-1.620318890E-1,2.602283955E-1,-2.545779049E-1
1.193884649E0,1.450803829E-3,2.128100246E-1,-2.796997130E-1
1.210550587E0,1.220965981E-1,1.356119812E-1,-2.970330119E-1
1.227216524E0,1.632536054E-1,1.556941569E-1,-2.750418782E-1
1.243882462E0,1.762344837E-1,1.948658675E-1,-2.605338395E-1
1.260548399E0,4.260781705E-1,1.782961637E-1,-2.964984775E-1
1.277214337E0,5.997928381E-1,3.619373962E-2,-1.676060259E-1
1.293880274E0,6.404153705E-1,-1.729510874E-1,-2.127336562E-1
1.310546212E0,5.955168009E-1,-3.527744114E-1,-2.508363426E-1
1.327212149E0,4.952586293E-1,-4.835758209E-1,-2.430478185E-1
1.343878087E0,3.392590284E-1,-4.893026948E-1,-2.299905866E-1
1.360544024E0,1.792124510E-1,-3.973675370E-1,-2.528216541E-1
1.377209962E0,5.299251899E-2,-2.787834108E-1,-3.391826749E-1
1.393875899E0,-3.214675933E-2,-2.443459183E-1,-4.697550237E-1
1.410541837E0,-7.605266571E-2,-2.528980076E-1,-5.970439911E-1
1.427207774E0,-1.007163301E-1,-2.264781147E-1,-6.680569649E-1
1.443873712E0,-1.698967665E-1,-1.592829973E-1,-6.504946351E-1
1.460539649E0,-2.522871494E-1,-6.902772188E-2,-6.501128674E-1
1.477205587E0,-2.248746008E-1,4.818195850E-2,-6.604211926E-1
1.493871524E0,-1.224783882E-1,7.490729541E-2,-6.674461365E-1
1.510537462E0,-1.293506175E-1,-5.703949928E-2,-6.376664639E-1
1.527203399E0,-3.240637779E-1,-2.596938908E-1,-7.008909583E-1
1.543869337E0,-4.805215001E-1,-2.814559340E-1,-5.512291193E-1
1.560535274E0,-6.491965652E-1,-3.727802336E-1,-4.964039922E-1
1.577201212E0,-6.669116020E-1,-4.550178945E-1,-4.020253718E-1
1.593867149E0,-5.117519498E-1,-4.075231552E-1,-3.434587121E-1
1.610533087E0,-3.265835941E-1,-4.488328993E-1,-2.711476088E-1
1.627199024E0,-1.592066288E-1,-6.023126841E-1,-2.120464295E-1
1.643864962E0,-4.291325063E-2,-7.307469845E-1,-2.454912812E-1
1.660530899E0,-5.650499370E-3,-5.879573226E-1,-3.184132576E-1
1.677196837E0,-8.628465235E-3,-2.282343507E-1,-2.768744528E-1
1.693862774E0,3.436114406E-3,2.122755162E-2,-1.944077164E-1
1.710528712E0,7.002037764E-2,1.634063199E-2,-1.580612659E-1
1.727194649E0,1.172096804E-1,-1.327867359E-1,-1.456148922E-1
1.743860587E0,1.411861181E-1,-2.326631248E-1,-1.136208475E-1
1.760526524E0,1.212566569E-1,-2.738201320E-1,-1.001054645E-1
1.777192462E0,1.153007299E-1,-2.527453005E-1,-1.152243689E-1
1.793858399E0,1.138499230E-1,-2.794706225E-1,-1.133154184E-1
1.810524337E0,8.865175396E-2,-3.010036349E-1,-4.650207981E-2
1.827190274E0,6.055197120E-2,-2.627482116E-1,-1.208748668E-1
1.843856212E0,1.072067693E-1,-2.796233594E-1,-2.450331300E-1
1.860522149E0,1.643989831E-1,-3.598757088E-1,-2.879463732E-1
1.877188087E0,1.758527011E-1,-4.135554433E-1,-3.384190798E-1
1.893854024E0,1.270598769E-1,-4.953349829E-1,-3.417024910E-1
1.910519962E0,5.192350596E-2,-4.960985482E-1,-3.209330738E-1
1.927185899E0,-1.275180187E-2,-4.055378437E-1,-2.680932879E-1
1.943851837E0,-1.145371469E-3,-2.751945853E-1,-2.211330533E-1
1.960517774E0,1.094975099E-1,-2.086103261E-1,-1.980729103E-1
1.977183712E0,2.529743910E-1,-1.654679924E-1,-2.302196622E-1
