"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.837964900E-2,0.000000000E0,0.000000000E0,0.000000000E0
5.504558700E-2,-3.491613865E-1,-4.926109314E-2,-4.516744614E-1
7.171152400E-2,-3.035023808E-1,-1.731383801E-1,-4.329309464E-1
8.837746200E-2,8.996725082E-3,-2.188322544E-1,-2.299375534E-1
1.050433990E-1,1.200796366E-1,-2.021522522E-1,-1.412210464E-1
1.217093370E-1,3.398698568E-1,-1.856784821E-1,-1.305675507E-1
1.383752740E-1,2.650809288E-1,-4.218816757E-3,-5.723953247E-2
1.550412120E-1,3.491272926E-1,-1.854205132E-2,3.581237793E-2
1.717071490E-1,5.327104330E-1,8.132100105E-2,-1.813917160E-1
1.883730870E-1,5.874162912E-1,2.360124588E-1,-4.067478180E-1
2.050390240E-1,5.112369061E-1,2.818276882E-1,-4.359302521E-1
2.217049620E-1,4.964438677E-1,2.610087395E-1,-3.452777863E-1
2.383708990E-1,3.184791803E-1,2.313370705E-1,-2.333850861E-1
2.550368370E-1,2.311888933E-1,1.968517303E-1,-5.619335175E-2
2.717027740E-1,2.016621828E-1,1.578698158E-1,2.681035995E-1
2.883687120E-1,3.705203533E-1,1.417565346E-1,3.297824860E-1
3.050346490E-1,5.883454084E-1,3.287329674E-1,2.581005096E-1
3.217005870E-1,9.086365700E-1,4.443476200E-1,2.338666916E-1
3.383665240E-1,1.625087142E0,4.422624111E-1,1.073732376E-1
3.550324620E-1,1.646138191E0,4.708986282E-1,8.142490387E-1
3.716983990E-1,1.583355784E0,2.948734760E-1,1.489674568E0
3.883643370E-1,6.646972895E-1,3.859150410E-1,8.159227371E-1
4.050302740E-1,1.569365263E-1,1.419637203E-1,4.400167465E-1
4.216962120E-1,2.019386292E-1,-1.834599972E-1,6.417274475E-1
4.383621490E-1,4.018287659E-1,-4.418399334E-1,1.116941452E0
4.550280870E-1,1.887367964E-1,-4.530222416E-1,8.053102493E-1
4.716940240E-1,-3.505529165E-1,-6.872677803E-1,3.529806137E-1
4.883599620E-1,-1.440905333E-1,-1.841208339E0,-3.833713531E-1
5.050258990E-1,-3.828386068E-1,-6.089692116E-1,5.383682251E-2
5.216918370E-1,-1.069412827E0,1.187692165E0,1.196289062E-1
5.383577740E-1,-9.559617639E-1,2.348136902E-1,-1.148302555E0
5.550237120E-1,-2.528896332E-1,-6.936836243E-1,-6.200542450E-1
5.716896490E-1,2.654649615E-1,-2.970547676E-1,-4.996013641E-2
5.883555870E-1,-6.723082066E-2,6.438913345E-1,-1.533536911E-1
6.050215240E-1,-7.012666464E-1,9.493784904E-1,-5.954999924E-1
6.216874620E-1,-7.698823810E-1,4.615087509E-1,-9.929614067E-1
