"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.044688000E-3,-3.716950893E0,6.855137825E0,1.286022568E1
2.371062500E-2,-1.887637973E0,7.044170856E0,1.383141232E1
4.037656300E-2,-5.383850932E-1,7.242475986E0,1.325563908E1
5.704250000E-2,-3.140579760E-1,6.879364967E0,1.239033508E1
7.370843800E-2,-1.169492081E-1,5.673382282E0,1.030947590E1
9.037437500E-2,-8.374879509E-2,4.819443703E0,8.557631493E0
1.070403130E-1,4.624129832E-1,3.881457329E0,7.698308468E0
1.237062500E-1,1.052542806E0,3.133401155E0,7.111169815E0
1.403721880E-1,6.541379094E-1,3.709473372E0,7.402794838E0
1.570381250E-1,8.380861282E-1,3.844667673E0,7.610073090E0
1.737040630E-1,1.845165372E0,3.268296719E0,7.942974567E0
1.903700000E-1,2.551646233E0,2.602194548E0,7.671090126E0
2.070359380E-1,2.823530674E0,2.015654087E0,7.341478825E0
2.237018750E-1,2.170589209E0,1.645962834E0,7.641479015E0
2.403678130E-1,1.950748682E0,1.760519266E0,8.635697365E0
2.570337500E-1,3.268296719E0,1.924128532E0,1.024845982E1
2.736996880E-1,5.149952412E0,1.750349760E0,1.167159081E1
2.903656250E-1,5.929713726E0,1.685145378E0,1.270199966E1
3.070315630E-1,4.475475788E0,2.331207514E0,1.328554916E1
3.236975000E-1,1.778764486E0,3.327818155E0,1.391007614E1
3.403634380E-1,-6.074778438E-1,4.395615101E0,1.476311779E1
3.570293750E-1,-6.281159520E-1,4.178167343E0,1.485883045E1
3.736953130E-1,-1.046859939E-2,3.406482220E0,1.305224895E1
3.903612500E-1,-5.333003402E-1,3.338585854E0,9.856335640E0
4.070271880E-1,-1.468594909E0,3.992723703E0,6.649953365E0
4.236931250E-1,-1.973480463E0,4.393820763E0,4.176373005E0
4.403590630E-1,-2.063809633E0,4.381557465E0,3.362214804E0
4.570250000E-1,-1.360319614E0,3.781557083E0,4.213461399E0
4.736909380E-1,-9.029914737E-1,2.591726065E0,3.509971619E0
4.903568750E-1,-7.268198729E-1,1.598405480E0,3.953242064E0
5.070228130E-1,-1.656730533E0,1.458126307E0,4.267300129E0
5.236887500E-1,-2.828017235E0,1.879861236E0,4.216751575E0
5.403546880E-1,-3.950849295E0,1.825424552E0,5.002793789E0
5.570206250E-1,-4.219742775E0,1.892423630E0,5.439783096E0
5.736865630E-1,-4.505984306E0,1.666002750E0,6.000002861E0
5.903525000E-1,-5.679663658E0,1.894517303E0,9.200701714E0
6.070184380E-1,-6.567400932E0,2.671287298E0,1.394656658E1
6.236843750E-1,-4.412663937E0,5.144568682E-1,1.732463455E1
6.403503130E-1,-7.079764009E-1,-5.015954375E-1,1.854317856E1
6.570162500E-1,3.230310678E0,-2.506780863E0,2.166850471E1
6.736821880E-1,4.046263218E0,-3.803989887E0,2.447319221E1
6.903481250E-1,2.838784933E0,-3.890729666E0,2.618166733E1
7.070140630E-1,2.181057930E0,-3.849453449E0,2.295345116E1
7.236800000E-1,2.891726255E0,-3.734597921E0,1.796501350E1
7.403459380E-1,3.527917862E0,-3.406183004E0,1.419542027E1
7.570118750E-1,3.864707708E0,-2.172981977E0,1.130698395E1
7.736778130E-1,3.835993767E0,-7.944171429E-1,9.742077827E0
7.903437500E-1,3.465106249E0,1.136590727E-2,8.971888542E0
8.070096880E-1,2.769991398E0,-3.918246925E-2,8.041379929E0
8.236756250E-1,2.174477577E0,-4.402793646E-1,6.996613503E0
8.403415630E-1,1.802692771E0,-5.697908998E-1,6.418148518E0
8.570075000E-1,1.534995675E0,-3.888336718E-1,6.058028698E0
8.736734380E-1,1.255035520E0,3.230310604E-2,5.142475128E0
8.903393750E-1,7.977072597E-1,4.950151742E-1,4.651946545E0
9.070053130E-1,4.378865361E-1,1.073779106E0,4.506881237E0
9.236712500E-1,6.810571551E-1,1.345065475E0,4.697709084E0
9.403371880E-1,1.556531072E0,7.247261405E-1,4.838586330E0
9.570031250E-1,2.218445778E0,-2.054836452E-1,4.796113968E0
9.736690630E-1,1.849053741E0,-3.631108403E-1,5.197509766E0
9.903350000E-1,4.899304509E-1,4.707878530E-1,6.589235306E0
1.007000938E0,-1.645065546E-1,1.898405671E0,8.455636978E0
1.023666875E0,3.005983531E-1,2.493321180E0,9.888638496E0
1.040332813E0,5.165506005E-1,2.315654039E0,1.226172066E1
1.056998750E0,9.708877802E-1,1.971984982E0,1.364297771E1
1.073664688E0,1.426720500E0,1.945663929E0,1.438056469E1
1.090330625E0,1.323230863E0,2.219043970E0,1.516660690E1
1.106996563E0,7.043871880E-1,3.074477911E0,1.469043541E1
1.123662500E0,4.773681164E-1,4.003790379E0,1.352871990E1
1.140328438E0,9.218349457E-1,4.352245331E0,1.263350582E1
1.156994375E0,1.174875975E0,6.424130440E0,8.883354187E0
1.173660313E0,2.678465843E0,4.595715046E0,1.036122131E1
1.190326250E0,3.820141315E0,3.572783232E0,7.201199532E0
1.206992188E0,4.686343193E0,6.008976102E-1,5.686244011E0
1.223658125E0,5.845665932E0,-2.179263115E0,5.489733219E0
1.240324063E0,4.940879822E0,-3.873381615E0,6.911967278E0
1.256990000E0,8.733802438E-1,-1.217647672E0,1.003848934E1
1.273655938E0,-2.742473841E0,2.362912416E0,1.074915791E1
1.290321875E0,-2.502593279E0,1.480558991E0,1.019491959E1
1.306987813E0,-1.790429592E0,-2.572284266E-2,8.659625053E0
1.323653750E0,-1.193719387E0,7.860422134E-1,7.390532017E0
1.340319688E0,-1.197906852E0,1.859821439E0,6.045765400E0
1.356985625E0,-2.322533369E0,3.218047380E0,7.930711746E0
1.373651563E0,-5.156233788E0,2.376372099E0,1.146610737E1
1.390317500E0,-6.913762093E0,3.256332397E0,5.971288681E0
1.406983438E0,-3.216850996E0,4.430311203E0,5.750551224E0
1.423649375E0,-1.789532185E0,4.028615952E0,6.228816509E0
1.440315313E0,-2.499901533E0,5.293820858E0,6.911069870E0
1.456981250E0,-3.404986620E0,6.372684956E0,8.452346802E0
1.473647188E0,-4.048655987E0,6.292824268E0,1.051854897E1
1.490313125E0,-3.877868176E0,6.270391941E0,1.065224838E1
1.506979063E0,-3.267698526E0,6.744170666E0,1.073240757E1
1.523645000E0,-3.089433193E0,5.381757259E0,9.298508644E0
1.540310938E0,-3.882055521E0,4.724927425E0,8.283054352E0
1.556976875E0,-4.308875561E0,4.579563618E0,8.328517914E0
1.573642813E0,-3.350250721E0,4.179663181E0,8.678468704E0
1.590308750E0,-1.692921996E0,4.247858524E0,8.831310272E0
1.606974688E0,-2.072782665E-1,4.671986103E0,9.182756424E0
1.623640625E0,-1.725823283E-1,4.636393070E0,9.135198593E0
1.640306563E0,-1.016052365E0,4.483551502E0,9.078967094E0
1.656972500E0,-1.404287815E0,3.961916208E0,9.420842171E0
1.673638438E0,-1.133599758E0,3.622733593E0,9.093324661E0
1.690304375E0,-1.424028635E0,3.993321896E0,7.604988575E0
1.706970313E0,-1.217348576E0,4.031906128E0,6.791728020E0
1.723636250E0,-3.523431420E-1,4.036691666E0,7.342675209E0
1.740302188E0,5.718846321E-1,3.809373617E0,8.214859009E0
1.756968125E0,5.473581553E-1,3.476771355E0,7.840681553E0
1.773634063E0,-8.539385796E-1,2.085644007E0,7.693522930E0
1.790300000E0,-1.721336842E0,1.408475280E0,7.698009491E0
1.806965938E0,-1.902593136E0,1.065703392E0,7.616055489E0
1.823631875E0,-1.198205948E0,1.546959877E0,8.645866394E0
